Date;Time;Location;Operator;Flight;Route;Type;Registration;cn/In;Aboard;Fatalities;Ground;Summary;Latitude;Longitude
03/27/1977;17:07:00;Tenerife, Canary Islands;Pan American World Airways / KLM;1736/4805;Tenerife - Las Palmas / Tenerife - Las Palmas;Boeing B-747-121 / Boeing B-747-206B;N736PA/PH-BUF;19643/11 / 20400/157;64400;5830;0;Both aircraft were diverted to Tenerife because of a bombing at Las Palmas Airport. After an extended delay,  both planes were instructed to back track up the runway. The KLM plane reached its takeoff point while the Pan Am plane was still on the runway. The Pan Am plane continued up the runway missing the taxiway turnout. There was heavy fog on the runway. The KLM plane began its takeoff roll without permission with the Pan Am plane still on the runway. The KLM plane hit the Pan Am plane just as it was taking off. Both planes burst into flames.  KLM 234 + 14 crew,  Pan Am 326 + 9 crew killed. All aboard the KLM plane were killed. The Pan Am aircraft was named Clipper Victor. The KLM aircraft was named Rhine River.;282935785;-1662144712
05/25/1979;15:04:00;Chicago O'Hare, Illinois;American Airlines;191;Chicago, IL- Los Angeles, CA;McDonnell Douglas DC-10-10;N110AA;46510/22;27100;2710;200;During takeoff just, as the plane lifted from the runway, the left engine and pylon separated from the aircraft damaging the wing and hydraulisystem which caused the aircraft to roll and crash. Highest single plane death toll in U.S. aviation history. Asymmetrical stall and the ensuing roll of the aircraft because of the uncommanded retraction of the left wing outboard leading edge slats and the loss of stall warning and slat disagreement indication systems caused by separation of the engine and pylon. Improper maintenance procedures used by American Airlines when dismounting the engines for maintenance, by removing the pylon and engine together, putting strain on the engine mounts leading to  stress cracks.;41988449;-878509129
07/11/1991;08:40:00;Jeddah, Saudi Arabia;Nationair (chartered by Nigeria Airways);2120;Jeddah - Sokoto;McDonnell Douglas DC-8 Super 61;C-GMXQ;45982/345;26100;2610;0;After taking off, fire was reported in the landing gear well. The aircraft crashed while trying to return to the airport. Loss of hydraulics and electrical systems after a fire, started in the wheel when two tires disintegrated due to under inflation of one tire. This caused a fire which ignited years of accumulated flammables in the DC-8's wheel well leading to an uncontroable fire. The plane was allowed to leave with an under inflated tire. Twenty minutes prior to departure, the Nationair lead mechanimade a request for nitrogen to inflate the low tire. Nitrogen was not readily available and a delay would probably have occur procuring it. The Nationair project manager, without conferring with the flight crew, released the plane.;215810088;391653612
11/12/2001;09:16:00;Belle Harbor, Queens, New York;American Airlines;587;New York City - Santo Domingo, Dominican Rep.;Airbus A-300-605R;N14053;420;26000;2600;500;Three minutes after taking off and while in a climbing left turn, at 2,800 ft., parts of the plane, including the vertical stabilizer and rudder, fell from the aircraft. The crew soon lost control of the plane which nose dived and crashed into a residential neighborhood. After flying into the wake turbulence of two aircraft about two minutes into the flight, investigators believe a series of quick rudder swings by the copilot whipped the tail so severely that the fin broke off. The National Transportation Safety Board has found that pilot error was the probable cause. Sharply criticizing American Airlines Advanced Aircraft Maneuvering Program, the Board said that American Airlines' pilot training included a simulator exercise which could have caused the first officer to have an unrealistiand exaggerated view of the effects of wake turbulence, erroneously associate wake turbulence encounters with the need for aggressive roll upset recovery techniques and develop control strategies that would produce a much different -- and potentially surprising and confusing -- response if performed during flight. In addition, because of its high sensitivity, the Airbus A-300-600 rudder control system is susceptible to potentially hazardous rudder pedal inputs at higher airspeed.;405767844;-7384782
12/21/1988;19:03:00;Lockerbie, Scotland;Pan American World Airways;103;London - New York City;Boeing B-747-121A;N739PA;19646/15;25900;2590;1100;The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named 'Clipper Maid of the Seas.';551218578;-3355237
12/12/1985;06:45:00;Gander, Newfoundland, Canada;Arrow Airways;MF1285R;Gander - Fort Campbell, KY;McDonnell Douglas DC-8 Super 63PF;N950JW;46058/433;25600;2560;0;The aircraft stalled and crashed during takeoff. Two-hundred-forty-four members of the 101st Airborne Division from Fort Campbell, Kentucky  were killed in the accident. There is controversy surrounding this crash. The majority opinion of the board was that the cause of the sequence leading up to the stall and crash could not be determined, with icing a possibility. The minority opinion was that the crash was possibly caused by detonation of an explosive device of unknown origin in a cargo compartment which led to an in-flight fire and loss of control of the aircraft.;489592291;-546187879
10/28/1984;;Near Kabul, Afghanistan;Military - Russian Air Force;;;Antonov AN-22;CCCP-08837;7340106;24000;2400;0;Shot down by Afghan rebels shortly after taking off. Worst single military aircraft disaster in history.;34531964;692022711
09/26/1997;13:34:00;Buah Nabar, Indonesia;Garuda Indonesia Airlines;152;Jakarta - Medan;Airbus A300-B4-200;PK-GAI;214;23400;2340;0;The aircraft crashed into mountainous terrain 15 minutes before it was due to land at Medan on a flight from Jakarta. The aircraft crashed 20 miles from the airport. ATC error in directing the plane in the wrong direction into mountainous terrain that was obscured by smoke and haze due to forest fires in the area.;3355789;985751592
08/06/1997;01:42:00;Agana, Guam;Korean Airlines;801;Seoul - Guam;Boeing B-747-300;HL-7468;22487/605;25400;2290;0;The aircraft crashed into Nimitz Hill, 3 miles short of Runway 06R, while making a non-precision approach in heavy rain to A.B. Won Guam International Airport. The runway glide slope system was inoperative. In addition, the Minimum Safe Altitude Warning system (MSAW) was also not working due to a software problem. The captain’s failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captain’s execution of the approach. Contributing to these failures were the captain's fatigue and Korean Air's  inadequate flight crew training. Contributing to the accident was the Federal Aviation Administration's (FAA) intentional inhibition of the MSAW at Guam and the agency's failure to adequately manage the system.;134727446;14475201
02/16/1998;20:09:00;Taipei, Taiwan;China Airlines (Taiwan);676;Denpasar - Taipei;Airbus A300-622R;B-1814;578;19600;1960;700;The aircraft was attempting to land at Taipei's international airport in rain and fog when the crew requested a go-around. The plane crashed into a residential neighborhood, ripping the roofs off several structures, skidding into a rice paddy and bursting in flames. DFDR data showed complete autopilot disengagement just after landing clearance. This was  followed by an attempted manually flown go-around with falling airspeed and a pitch-up of 40 degrees followed by a gain of 1,000 feet in altitude, total stall and a dive resulting in impact with the ground.;250375198;1215636796
